,index,Name,Dates,Prices,Link,Filtered
126,159,MSI NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card,2022-03-18,140.0,https://www.ebay.com/itm/353956320596?epid=12021678942&hash=item526970d554:g:XKIAAOSwYyxiK~3I,False
127,161,Asus GeForce GTX 1050 Ti 4GB Phoenix Fan Edition PH-GTX1050TI-4G Graphic Card ,2022-03-18,155.5,https://www.ebay.com/itm/304396260046?epid=28031984310&hash=item46df6e52ce:g:LwsAAOSwYqZiG-Z2,False
128,163,Dell GeForce GTX 1050 Ti Single Slot 4GB GDDR5 Graphics Card,2022-03-18,132.5,https://www.ebay.com/itm/294858519301?hash=item44a6eff305:g:M88AAOSwovliK6jA,False
133,171,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-18,118.5,https://www.ebay.com/itm/384776232752?epid=20003297363&hash=item5996735f30:g:7F0AAOSwgP9iK5TJ,False
134,173,GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (GVN105TD54GD),2022-03-18,169.0,https://www.ebay.com/itm/165386300262?epid=5026512636&hash=item2681caab66:g:YIYAAOSwFjxiMRkM,False
135,174,MSI GeForce GTX 1050 Ti 4 GT OC 4GB 128-Bit GDDR5 HDCP Ready ATX Video Card,2022-03-18,163.0,https://www.ebay.com/itm/115289428511?epid=22025879252&hash=item1ad7c9121f:g:eHMAAOSwDzZiK29p,False
137,177,DELL GEFORCE GTX 1050TI 4GB GDDR5 GRAPHICS CARD CN-0DVP9W 0DVP9W DVP9W ,2022-03-17,169.99,https://www.ebay.com/itm/224892006027?hash=item345c9bae8b:g:giwAAOSwp25iM5~o,False
138,178,msi geforce gtx 1050 ti gaming x 4g graphics card,2022-03-17,185.0,https://www.ebay.com/itm/175149183012?hash=item28c7b47024:g:PDMAAOSwxRdh3Ve-,False
141,181,MSI GeForce 4GB (GTX 1050 TI GAMING X 4G) Graphics Card,2022-03-17,179.5,https://www.ebay.com/itm/304396245063?hash=item46df6e1847:g:91AAAOSwNcxh4Zca,False
142,182,GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (GVN105TD54GD),2022-03-17,160.5,https://www.ebay.com/itm/304396264514?epid=5026512636&hash=item46df6e6442:g:ZsQAAOSwVKdhdb~G,False
144,184,MSI GeForce 4GB (GTX 1050 TI GAMING X 4G) Graphics Card,2022-03-17,150.27,https://www.ebay.com/itm/363759086358?epid=10021692240&hash=item54b1bb2b16:g:JFEAAOSwiHtiKoIm,False
