Name,Dates,Prices,Link
EVGA NVIDIA GEFORCE GTX 1050TI SC GRAPHICS CARD | 4GB GDDR5,2022-03-23 00:00:00,160.0,https://www.ebay.com/itm/334375295714?hash=item4dda521ae2:g:HfkAAOSwM0tiOhja
NEW GeForce GTX 1050 4GB MXM3.0 Tybe-A Video Graphics Card N17P-G0-A1,2022-03-23 00:00:00,152.15,https://www.ebay.com/itm/164852411029?hash=item2661f82a95:g:vxUAAOSwVSFfHTkq
Gigabyte Geforce GTX 1050 Ti OC 4GB Graphics Card GV-N105TOC-4GL For Parts,2022-03-23 00:00:00,98.95,https://www.ebay.com/itm/185345160263?epid=11030515113&hash=item2b276eb447:g:vWwAAOSwtJhh8rOy
EVGA NVIDIA GEFORCE GTX 1050 TI VIDEO CARD 04G-P4-6255-KB ACX 3.0 SSC Gaming,2022-03-23 00:00:00,149.99,https://www.ebay.com/itm/384794271432?epid=631607182&hash=item5997869ec8:g:DL4AAOSwQcBiOon3
GIGABYTE GeForce GTX 1050 G1 Gaming 2GB GDDR5 Video Card (GV-N1050G1 GAMING-2GD),2022-03-23 00:00:00,150.0,https://www.ebay.com/itm/203866019753?epid=2068607606&hash=item2f775c97a9:g:7GIAAOSwvNBiLOWl
MSI GeForce GTX 1050 Ti 4GB PCI Express 3.0 Graphics Card,2022-03-22 00:00:00,187.5,https://www.ebay.com/itm/115297044438?epid=2305807244&hash=item1ad83d47d6:g:JQoAAOSwIDNiL~9J
GIGABYTE GeForce GTX 1050 2GB Graphics Card,2022-03-22 00:00:00,124.99,https://www.ebay.com/itm/125179217687?epid=25026719829&hash=item1d25434717:g:otIAAOSwuwdiIC~X
EVGA NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 GPU (04G-P4-6251-KR) -,2022-03-22 00:00:00,157.5,https://www.ebay.com/itm/144463603465?hash=item21a2b3a709:g:IAcAAOSwAwhiMR7J
GIGABYTE GeForce GTX 1050 G1 Gaming 2GB GDDR5 Video Card (GV-N1050G1 GAMING-2GD),2022-03-22 00:00:00,72.0,https://www.ebay.com/itm/165386081122?epid=2068607606&hash=item2681c75362:g:fN0AAOSwK6FiMPoh
EVGA GeForce GTX 1050 Ti,2022-03-22 00:00:00,132.5,https://www.ebay.com/itm/334365612124?hash=item4dd9be585c:g:IooAAOSwlkViMPYw
Zotac geforce gtx 1050 2 gb 128bit gddr5 #Box1,2022-03-22 00:00:00,120.0,https://www.ebay.com/itm/165395859111?hash=item26825c86a7:g:kGkAAOSwdmNiOZMJ
EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-22 00:00:00,75.0,https://www.ebay.com/itm/234468012072?epid=16021686725&hash=item369761f028:g:a1AAAOSwYqZiIk3Q
ASUS Cerberus GeForce GTX 1050 TI 4gb OC Edition Gddr5 Gaming Graphics Card,2022-03-22 00:00:00,181.41,https://www.ebay.com/itm/353961307239?epid=10026728776&hash=item5269bcec67:g:Pe8AAOSwNGBiCF5c
GIGABYTE GeForce GTX 1050 Ti 4GB OC GDDR5 Graphics Card Low Profile,2022-03-22 00:00:00,270.0,https://www.ebay.com/itm/373981949647?epid=5026512636&hash=item57130faecf:g:gzIAAOSwRU5iM9dx
MSI NVIDIA GeForce GTX 1050 TI 4GB GDDR5 Graphics Card,2022-03-22 00:00:00,143.5,https://www.ebay.com/itm/175201795507?epid=21030523268&hash=item28cad73db3:g:6eQAAOSwH4JiMKcG
Asus GeForce GTX 1050 Ti 4GB Single Fan TESTED W/ Box - No I/O Shield ,2022-03-22 00:00:00,149.95,https://www.ebay.com/itm/203877911315?epid=28031984310&hash=item2f78120b13:g:QZgAAOSwN~diNngt
GIGABYTE GeForce GTX 1050 TI Windforce OC 4GB GDDR5 Graphics Card,2022-03-21 00:00:00,185.0,https://www.ebay.com/itm/203865039338?epid=18032167986&hash=item2f774da1ea:g:fDIAAOSwekRiBIB2
1050 ti fanless graphics card,2022-03-21 00:00:00,102.5,https://www.ebay.com/itm/325101720744?hash=item4bb19294a8:g:GRwAAOSwzLFiL~y9
